UF,SITUACAO,ADEQUACAO,AGUA,ESGOTO,LIXO,n
11,Rural,Adequado,Adequado,Adequado,Adequado,0
11,Rural,Adequado,Adequado,Adequado,Inadequado,0
11,Rural,Adequado,Adequado,Inadequado,Adequado,0
11,Rural,Adequado,Adequado,Inadequado,Inadequado,0
11,Rural,Adequado,Inadequado,Adequado,Adequado,0
11,Rural,Adequado,Inadequado,Adequado,Inadequado,0
11,Rural,Adequado,Inadequado,Inadequado,Adequado,0
11,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
11,Rural,Inadequado,Adequado,Adequado,Adequado,0
11,Rural,Inadequado,Adequado,Adequado,Inadequado,0
11,Rural,Inadequado,Adequado,Inadequado,Adequado,0
11,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
11,Rural,Inadequado,Inadequado,Adequado,Adequado,0
11,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
11,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
11,Rural,Inadequado,Inadequado,Inadequado,Inadequado,29556
11,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
11,Rural,Semi-adequado,Adequado,Adequado,Inadequado,17162
11,Rural,Semi-adequado,Adequado,Inadequado,Adequado,8681
11,Rural,Semi-adequado,Adequado,Inadequado,Inadequado,355757
11,Rural,Semi-adequado,Inadequado,Adequado,Adequado,0
11,Rural,Semi-adequado,Inadequado,Adequado,Inadequado,1565
11,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,0
11,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
11,Urbano,Adequado,Adequado,Adequado,Adequado,230842
11,Urbano,Adequado,Adequado,Adequado,Inadequado,0
11,Urbano,Adequado,Adequado,Inadequado,Adequado,0
11,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
11,Urbano,Adequado,Inadequado,Adequado,Adequado,0
11,Urbano,Adequado,Inadequado,Adequado,Inadequado,0
11,Urbano,Adequado,Inadequado,Inadequado,Adequado,0
11,Urbano,Adequado,Inadequado,Inadequado,Inadequado,0
11,Urbano,Inadequado,Adequado,Adequado,Adequado,0
11,Urbano,Inadequado,Adequado,Adequado,Inadequado,0
11,Urbano,Inadequado,Adequado,Inadequado,Adequado,0
11,Urbano,Inadequado,Adequado,Inadequado,Inadequado,0
11,Urbano,Inadequado,Inadequado,Adequado,Adequado,0
11,Urbano,Inadequado,Inadequado,Adequado,Inadequado,0
11,Urbano,Inadequado,Inadequado,Inadequado,Adequado,0
11,Urbano,Inadequado,Inadequado,Inadequado,Inadequado,5095
11,Urbano,Semi-adequado,Adequado,Adequado,Adequado,0
11,Urbano,Semi-adequado,Adequado,Adequado,Inadequado,27668
11,Urbano,Semi-adequado,Adequado,Inadequado,Adequado,876663
11,Urbano,Semi-adequado,Adequado,Inadequado,Inadequado,194967
11,Urbano,Semi-adequado,Inadequado,Adequado,Adequado,0
11,Urbano,Semi-adequado,Inadequado,Adequado,Inadequado,0
11,Urbano,Semi-adequado,Inadequado,Inadequado,Adequado,18734
11,Urbano,Semi-adequado,Inadequado,Inadequado,Inadequado,0
12,Rural,Adequado,Adequado,Adequado,Adequado,1193
12,Rural,Adequado,Adequado,Adequado,Inadequado,0
12,Rural,Adequado,Adequado,Inadequado,Adequado,0
12,Rural,Adequado,Adequado,Inadequado,Inadequado,0
12,Rural,Adequado,Inadequado,Adequado,Adequado,0
12,Rural,Adequado,Inadequado,Adequado,Inadequado,0
12,Rural,Adequado,Inadequado,Inadequado,Adequado,0
12,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
12,Rural,Inadequado,Adequado,Adequado,Adequado,0
12,Rural,Inadequado,Adequado,Adequado,Inadequado,0
12,Rural,Inadequado,Adequado,Inadequado,Adequado,0
12,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
12,Rural,Inadequado,Inadequado,Adequado,Adequado,0
12,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
12,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
12,Rural,Inadequado,Inadequado,Inadequado,Inadequado,89918
12,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
12,Rural,Semi-adequado,Adequado,Adequado,Inadequado,0
12,Rural,Semi-adequado,Adequado,Inadequado,Adequado,18940
12,Rural,Semi-adequado,Adequado,Inadequado,Inadequado,117838
12,Rural,Semi-adequado,Inadequado,Adequado,Adequado,0
12,Rural,Semi-adequado,Inadequado,Adequado,Inadequado,0
12,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,4154
12,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
12,Urbano,Adequado,Adequado,Adequado,Adequado,293890
12,Urbano,Adequado,Adequado,Adequado,Inadequado,0
12,Urbano,Adequado,Adequado,Inadequado,Adequado,0
12,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
12,Urbano,Adequado,Inadequado,Adequado,Adequado,0
12,Urbano,Adequado,Inadequado,Adequado,Inadequado,0
12,Urbano,Adequado,Inadequado,Inadequado,Adequado,0
12,Urbano,Adequado,Inadequado,Inadequado,Inadequado,0
12,Urbano,Inadequado,Adequado,Adequado,Adequado,0
12,Urbano,Inadequado,Adequado,Adequado,Inadequado,0
12,Urbano,Inadequado,Adequado,Inadequado,Adequado,0
12,Urbano,Inadequado,Adequado,Inadequado,Inadequado,0
12,Urbano,Inadequado,Inadequado,Adequado,Adequado,0
12,Urbano,Inadequado,Inadequado,Adequado,Inadequado,0
12,Urbano,Inadequado,Inadequado,Inadequado,Adequado,0
12,Urbano,Inadequado,Inadequado,Inadequado,Inadequado,9487
12,Urbano,Semi-adequado,Adequado,Adequado,Adequado,0
12,Urbano,Semi-adequado,Adequado,Adequado,Inadequado,17628
12,Urbano,Semi-adequado,Adequado,Inadequado,Adequado,200934
12,Urbano,Semi-adequado,Adequado,Inadequado,Inadequado,60969
12,Urbano,Semi-adequado,Inadequado,Adequado,Adequado,8017
12,Urbano,Semi-adequado,Inadequado,Adequado,Inadequado,393
12,Urbano,Semi-adequado,Inadequado,Inadequado,Adequado,42062
12,Urbano,Semi-adequado,Inadequado,Inadequado,Inadequado,0
13,Rural,Adequado,Adequado,Adequado,Adequado,0
13,Rural,Adequado,Adequado,Adequado,Inadequado,0
13,Rural,Adequado,Adequado,Inadequado,Adequado,0
13,Rural,Adequado,Adequado,Inadequado,Inadequado,0
13,Rural,Adequado,Inadequado,Adequado,Adequado,0
13,Rural,Adequado,Inadequado,Adequado,Inadequado,0
13,Rural,Adequado,Inadequado,Inadequado,Adequado,0
13,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
13,Rural,Inadequado,Adequado,Adequado,Adequado,0
13,Rural,Inadequado,Adequado,Adequado,Inadequado,0
13,Rural,Inadequado,Adequado,Inadequado,Adequado,0
13,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
13,Rural,Inadequado,Inadequado,Adequado,Adequado,0
13,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
13,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
13,Rural,Inadequado,Inadequado,Inadequado,Inadequado,421126
13,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
13,Rural,Semi-adequado,Adequado,Adequado,Inadequado,1165
13,Rural,Semi-adequado,Adequado,Inadequado,Adequado,45942
13,Rural,Semi-adequado,Adequado,Inadequado,Inadequado,221670
13,Rural,Semi-adequado,Inadequado,Adequado,Adequado,0
13,Rural,Semi-adequado,Inadequado,Adequado,Inadequado,0
13,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,4139
13,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
13,Urbano,Adequado,Adequado,Adequado,Adequado,1610330
13,Urbano,Adequado,Adequado,Adequado,Inadequado,0
13,Urbano,Adequado,Adequado,Inadequado,Adequado,0
13,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
13,Urbano,Adequado,Inadequado,Adequado,Adequado,0
13,Urbano,Adequado,Inadequado,Adequado,Inadequado,0
13,Urbano,Adequado,Inadequado,Inadequado,Adequado,0
13,Urbano,Adequado,Inadequado,Inadequado,Inadequado,0
13,Urbano,Inadequado,Adequado,Adequado,Adequado,0
13,Urbano,Inadequado,Adequado,Adequado,Inadequado,0
13,Urbano,Inadequado,Adequado,Inadequado,Adequado,0
13,Urbano,Inadequado,Adequado,Inadequado,Inadequado,0
13,Urbano,Inadequado,Inadequado,Adequado,Adequado,0
13,Urbano,Inadequado,Inadequado,Adequado,Inadequado,0
13,Urbano,Inadequado,Inadequado,Inadequado,Adequado,0
13,Urbano,Inadequado,Inadequado,Inadequado,Inadequado,37245
13,Urbano,Semi-adequado,Adequado,Adequado,Adequado,0
13,Urbano,Semi-adequado,Adequado,Adequado,Inadequado,67237
13,Urbano,Semi-adequado,Adequado,Inadequado,Adequado,1146060
13,Urbano,Semi-adequado,Adequado,Inadequado,Inadequado,351867
13,Urbano,Semi-adequado,Inadequado,Adequado,Adequado,24805
13,Urbano,Semi-adequado,Inadequado,Adequado,Inadequado,0
13,Urbano,Semi-adequado,Inadequado,Inadequado,Adequado,51419
13,Urbano,Semi-adequado,Inadequado,Inadequado,Inadequado,0
14,Rural,Adequado,Adequado,Adequado,Adequado,0
14,Rural,Adequado,Adequado,Adequado,Inadequado,0
14,Rural,Adequado,Adequado,Inadequado,Adequado,0
14,Rural,Adequado,Adequado,Inadequado,Inadequado,0
14,Rural,Adequado,Inadequado,Adequado,Adequado,0
14,Rural,Adequado,Inadequado,Adequado,Inadequado,0
14,Rural,Adequado,Inadequado,Inadequado,Adequado,0
14,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
14,Rural,Inadequado,Adequado,Adequado,Adequado,0
14,Rural,Inadequado,Adequado,Adequado,Inadequado,0
14,Rural,Inadequado,Adequado,Inadequado,Adequado,0
14,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
14,Rural,Inadequado,Inadequado,Adequado,Adequado,0
14,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
14,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
14,Rural,Inadequado,Inadequado,Inadequado,Inadequado,27404
14,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
14,Rural,Semi-adequado,Adequado,Adequado,Inadequado,848
14,Rural,Semi-adequado,Adequado,Inadequado,Adequado,18453
14,Rural,Semi-adequado,Adequado,Inadequado,Inadequado,39457
14,Rural,Semi-adequado,Inadequado,Adequado,Adequado,0
14,Rural,Semi-adequado,Inadequado,Adequado,Inadequado,0
14,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,1116
14,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
14,Urbano,Adequado,Adequado,Adequado,Adequado,195783
14,Urbano,Adequado,Adequado,Adequado,Inadequado,0
14,Urbano,Adequado,Adequado,Inadequado,Adequado,0
14,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
14,Urbano,Adequado,Inadequado,Adequado,Adequado,0
14,Urbano,Adequado,Inadequado,Adequado,Inadequado,0
14,Urbano,Adequado,Inadequado,Inadequado,Adequado,0
14,Urbano,Adequado,Inadequado,Inadequado,Inadequado,0
14,Urbano,Inadequado,Adequado,Adequado,Adequado,0
14,Urbano,Inadequado,Adequado,Adequado,Inadequado,0
14,Urbano,Inadequado,Adequado,Inadequado,Adequado,0
14,Urbano,Inadequado,Adequado,Inadequado,Inadequado,0
14,Urbano,Inadequado,Inadequado,Adequado,Adequado,0
14,Urbano,Inadequado,Inadequado,Adequado,Inadequado,0
14,Urbano,Inadequado,Inadequado,Inadequado,Adequado,0
14,Urbano,Inadequado,Inadequado,Inadequado,Inadequado,2150
14,Urbano,Semi-adequado,Adequado,Adequado,Adequado,0
14,Urbano,Semi-adequado,Adequado,Adequado,Inadequado,813
14,Urbano,Semi-adequado,Adequado,Inadequado,Adequado,220320
14,Urbano,Semi-adequado,Adequado,Inadequado,Inadequado,12473
14,Urbano,Semi-adequado,Inadequado,Adequado,Adequado,5235
14,Urbano,Semi-adequado,Inadequado,Adequado,Inadequado,97
14,Urbano,Semi-adequado,Inadequado,Inadequado,Adequado,15593
14,Urbano,Semi-adequado,Inadequado,Inadequado,Inadequado,0
15,Rural,Adequado,Adequado,Adequado,Adequado,54244
15,Rural,Adequado,Adequado,Adequado,Inadequado,0
15,Rural,Adequado,Adequado,Inadequado,Adequado,0
15,Rural,Adequado,Adequado,Inadequado,Inadequado,0
15,Rural,Adequado,Inadequado,Adequado,Adequado,0
15,Rural,Adequado,Inadequado,Adequado,Inadequado,0
15,Rural,Adequado,Inadequado,Inadequado,Adequado,0
15,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
15,Rural,Inadequado,Adequado,Adequado,Adequado,0
15,Rural,Inadequado,Adequado,Adequado,Inadequado,0
15,Rural,Inadequado,Adequado,Inadequado,Adequado,0
15,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
15,Rural,Inadequado,Inadequado,Adequado,Adequado,0
15,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
15,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
15,Rural,Inadequado,Inadequado,Inadequado,Inadequado,850434
15,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
15,Rural,Semi-adequado,Adequado,Adequado,Inadequado,32638
15,Rural,Semi-adequado,Adequado,Inadequado,Adequado,252768
15,Rural,Semi-adequado,Adequado,Inadequado,Inadequado,1150710
15,Rural,Semi-adequado,Inadequado,Adequado,Adequado,0
15,Rural,Semi-adequado,Inadequado,Adequado,Inadequado,0
15,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,37627
15,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
15,Urbano,Adequado,Adequado,Adequado,Adequado,1303312
15,Urbano,Adequado,Adequado,Adequado,Inadequado,0
15,Urbano,Adequado,Adequado,Inadequado,Adequado,0
15,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
15,Urbano,Adequado,Inadequado,Adequado,Adequado,0
15,Urbano,Adequado,Inadequado,Adequado,Inadequado,0
15,Urbano,Adequado,Inadequado,Inadequado,Adequado,0
15,Urbano,Adequado,Inadequado,Inadequado,Inadequado,0
15,Urbano,Inadequado,Adequado,Adequado,Adequado,0
15,Urbano,Inadequado,Adequado,Adequado,Inadequado,0
15,Urbano,Inadequado,Adequado,Inadequado,Adequado,0
15,Urbano,Inadequado,Adequado,Inadequado,Inadequado,0
15,Urbano,Inadequado,Inadequado,Adequado,Adequado,0
15,Urbano,Inadequado,Inadequado,Adequado,Inadequado,0
15,Urbano,Inadequado,Inadequado,Inadequado,Adequado,0
15,Urbano,Inadequado,Inadequado,Inadequado,Inadequado,70841
15,Urbano,Semi-adequado,Adequado,Adequado,Adequado,0
15,Urbano,Semi-adequado,Adequado,Adequado,Inadequado,113812
15,Urbano,Semi-adequado,Adequado,Inadequado,Adequado,3923025
15,Urbano,Semi-adequado,Adequado,Inadequado,Inadequado,309148
15,Urbano,Semi-adequado,Inadequado,Adequado,Adequado,16217
15,Urbano,Semi-adequado,Inadequado,Adequado,Inadequado,2496
15,Urbano,Semi-adequado,Inadequado,Inadequado,Adequado,443826
15,Urbano,Semi-adequado,Inadequado,Inadequado,Inadequado,0
16,Rural,Adequado,Adequado,Adequado,Adequado,2949
16,Rural,Adequado,Adequado,Adequado,Inadequado,0
16,Rural,Adequado,Adequado,Inadequado,Adequado,0
16,Rural,Adequado,Adequado,Inadequado,Inadequado,0
16,Rural,Adequado,Inadequado,Adequado,Adequado,0
16,Rural,Adequado,Inadequado,Adequado,Inadequado,0
16,Rural,Adequado,Inadequado,Inadequado,Adequado,0
16,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
16,Rural,Inadequado,Adequado,Adequado,Adequado,0
16,Rural,Inadequado,Adequado,Adequado,Inadequado,0
16,Rural,Inadequado,Adequado,Inadequado,Adequado,0
16,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
16,Rural,Inadequado,Inadequado,Adequado,Adequado,0
16,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
16,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
16,Rural,Inadequado,Inadequado,Inadequado,Inadequado,32400
16,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
16,Rural,Semi-adequado,Adequado,Adequado,Inadequado,157
16,Rural,Semi-adequado,Adequado,Inadequado,Adequado,3160
16,Rural,Semi-adequado,Adequado,Inadequado,Inadequado,57812
16,Rural,Semi-adequado,Inadequado,Adequado,Adequado,0
16,Rural,Semi-adequado,Inadequado,Adequado,Inadequado,0
16,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,0
16,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
16,Urbano,Adequado,Adequado,Adequado,Adequado,139412
16,Urbano,Adequado,Adequado,Adequado,Inadequado,0
16,Urbano,Adequado,Adequado,Inadequado,Adequado,0
16,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
16,Urbano,Adequado,Inadequado,Adequado,Adequado,0
16,Urbano,Adequado,Inadequado,Adequado,Inadequado,0
16,Urbano,Adequado,Inadequado,Inadequado,Adequado,0
16,Urbano,Adequado,Inadequado,Inadequado,Inadequado,0
16,Urbano,Inadequado,Adequado,Adequado,Adequado,0
16,Urbano,Inadequado,Adequado,Adequado,Inadequado,0
16,Urbano,Inadequado,Adequado,Inadequado,Adequado,0
16,Urbano,Inadequado,Adequado,Inadequado,Inadequado,0
16,Urbano,Inadequado,Inadequado,Adequado,Adequado,0
16,Urbano,Inadequado,Inadequado,Adequado,Inadequado,0
16,Urbano,Inadequado,Inadequado,Inadequado,Adequado,0
16,Urbano,Inadequado,Inadequado,Inadequado,Inadequado,4609
16,Urbano,Semi-adequado,Adequado,Adequado,Adequado,0
16,Urbano,Semi-adequado,Adequado,Adequado,Inadequado,1606
16,Urbano,Semi-adequado,Adequado,Inadequado,Adequado,542409
16,Urbano,Semi-adequado,Adequado,Inadequado,Inadequado,31510
16,Urbano,Semi-adequado,Inadequado,Adequado,Adequado,578
16,Urbano,Semi-adequado,Inadequado,Adequado,Inadequado,1204
16,Urbano,Semi-adequado,Inadequado,Inadequado,Adequado,19770
16,Urbano,Semi-adequado,Inadequado,Inadequado,Inadequado,0
17,Rural,Adequado,Adequado,Adequado,Adequado,0
17,Rural,Adequado,Adequado,Adequado,Inadequado,0
17,Rural,Adequado,Adequado,Inadequado,Adequado,0
17,Rural,Adequado,Adequado,Inadequado,Inadequado,0
17,Rural,Adequado,Inadequado,Adequado,Adequado,0
17,Rural,Adequado,Inadequado,Adequado,Inadequado,0
17,Rural,Adequado,Inadequado,Inadequado,Adequado,0
17,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
17,Rural,Inadequado,Adequado,Adequado,Adequado,0
17,Rural,Inadequado,Adequado,Adequado,Inadequado,0
17,Rural,Inadequado,Adequado,Inadequado,Adequado,0
17,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
17,Rural,Inadequado,Inadequado,Adequado,Adequado,0
17,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
17,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
17,Rural,Inadequado,Inadequado,Inadequado,Inadequado,37161
17,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
17,Rural,Semi-adequado,Adequado,Adequado,Inadequado,12137
17,Rural,Semi-adequado,Adequado,Inadequado,Adequado,18508
17,Rural,Semi-adequado,Adequado,Inadequado,Inadequado,207819
17,Rural,Semi-adequado,Inadequado,Adequado,Adequado,0
17,Rural,Semi-adequado,Inadequado,Adequado,Inadequado,1788
17,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,0
17,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
17,Urbano,Adequado,Adequado,Adequado,Adequado,450809
17,Urbano,Adequado,Adequado,Adequado,Inadequado,0
17,Urbano,Adequado,Adequado,Inadequado,Adequado,0
17,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
17,Urbano,Adequado,Inadequado,Adequado,Adequado,0
17,Urbano,Adequado,Inadequado,Adequado,Inadequado,0
17,Urbano,Adequado,Inadequado,Inadequado,Adequado,0
17,Urbano,Adequado,Inadequado,Inadequado,Inadequado,0
17,Urbano,Inadequado,Adequado,Adequado,Adequado,0
17,Urbano,Inadequado,Adequado,Adequado,Inadequado,0
17,Urbano,Inadequado,Adequado,Inadequado,Adequado,0
17,Urbano,Inadequado,Adequado,Inadequado,Inadequado,0
17,Urbano,Inadequado,Inadequado,Adequado,Adequado,0
